Municipality,Initial,Final,PS,PVI,LS,LVI,AL,Lechoso,Consistente,Maduro
Tuzantan,18/01/2016,24/01/2016,37.6,8.7,44.3,15.1,-,-,-,-
Siltepec,18/01/2016,24/01/2016,40.8,17.3,36.4,23.5,-,-,-,-
Motozintla,18/01/2016,24/01/2016,20.3,3.4,32.3,5,-,-,-,-
Villa Comaltitlan,18/01/2016,24/01/2016,26.1,15.6,29.3,21.9,-,-,-,-
Chicomuselo,18/01/2016,24/01/2016,33.4,5.2,28.6,10,-,-,-,-
Bella Vista,18/01/2016,24/01/2016,34.7,8.3,26.9,7.5,-,-,-,-
Huixtla,18/01/2016,24/01/2016,33.6,5,22.9,5.3,-,-,-,-
Amatenango de la Frontera,18/01/2016,24/01/2016,23.6,9.5,22.1,14,-,-,-,-
Villa Corzo,18/01/2016,24/01/2016,15.9,11.8,21.5,9.1,-,-,-,-
Angel Albino Corzo,18/01/2016,24/01/2016,12.4,6.4,17.9,10.6,-,-,-,-
Chenalhe,18/01/2016,24/01/2016,37.3,19.7,13.9,1.7,-,-,-,-
San Juan Cancuc,18/01/2016,24/01/2016,32.7,4.6,13.6,0.9,-,-,-,-
Tila,18/01/2016,24/01/2016,19.1,3.7,10.2,3.3,-,-,-,-
Tumbala,18/01/2016,24/01/2016,13.8,3.6,8.1,4.4,-,-,-,-
Tapachula,18/01/2016,24/01/2016,8.6,9.8,6.9,11.1,-,-,-,-
Cacahoatan,18/01/2016,24/01/2016,7.8,8,5.9,10.1,-,-,-,-
Ocotepec,18/01/2016,24/01/2016,10.7,0.6,4.9,1.5,-,-,-,-
Yajalon,18/01/2016,24/01/2016,6.6,0.6,3.6,0.7,-,-,-,-
Chilon,18/01/2016,24/01/2016,6.6,2.4,3.4,2.2,-,-,-,-
Union Juarez,18/01/2016,24/01/2016,9.2,7.4,3.3,2.6,-,-,-,-
El Bosque,18/01/2016,24/01/2016,7.3,14.4,2.9,5.6,-,-,-,-
Tapilula,18/01/2016,24/01/2016,10.8,1.8,2.5,0.5,-,-,-,-
Ixhuatan,18/01/2016,24/01/2016,9.3,1.5,2.2,0.6,-,-,-,-
Amatan,18/01/2016,24/01/2016,9.5,3.9,2.1,1.2,-,-,-,-
Huitiupan,18/01/2016,24/01/2016,12.3,14.7,2.1,1.5,-,-,-,-
Simojovel de Allende,18/01/2016,24/01/2016,3.8,4.3,1,1.1,-,-,-,-
Tuxtla Chico,18/01/2016,24/01/2016,2.8,5.5,0.8,1.6,-,-,-,-
Escuintla,18/01/2016,24/01/2016,4.4,2.4,0.7,0.5,-,-,-,-
Tecpatan,18/01/2016,24/01/2016,0,0,0,0,-,-,-,-
Siltepec,26/01/2015,01/02/2015,49.8,5.4,51,2.4,3.9,0,23,97
Angel Albino Corzo,26/01/2015,01/02/2015,58.9,3.2,44.7,2.6,2.1,0,9.5,0
Chicomuselo,26/01/2015,01/02/2015,50.1,12.5,40.7,14.7,3.5,0,0,0
Villa Corzo,26/01/2015,01/02/2015,60,0,36.7,1,1.7,0,0,0
Bella Vista,26/01/2015,01/02/2015,31.4,11.9,29.7,13.1,1.6,0,0,0
Amatenango de la Frontera,26/01/2015,01/02/2015,30.2,10.8,27.9,3.3,2.6,0,0,0
Tapachula,26/01/2015,01/02/2015,30,19.2,23.9,16.9,6.2,0,0,1.8
Huixtla,26/01/2015,01/02/2015,36,13.9,23.1,4.3,1.4,0,0,0
Cacahoatan,26/01/2015,01/02/2015,29,19.9,22.9,26.2,2.5,0.3,0.3,2.5
Motozintla,26/01/2015,01/02/2015,7.3,3.2,18.6,11.6,0.6,0,0,0
Tecpatan,26/01/2015,01/02/2015,11.7,26.2,13.3,29.7,-,-,-,-
Union Juarez,26/01/2015,01/02/2015,20.5,18.1,13.2,12,3.1,0,33.3,13.3
Chenalhe,26/01/2015,01/02/2015,10.7,6.7,8.1,4.7,0.9,0,2,2
Escuintla,26/01/2015,01/02/2015,26.8,10.3,8,3.2,3.1,0,0,0
Amatan,26/01/2015,01/02/2015,14.9,5.1,6.8,0.9,3,0,0,0
Villa Comaltitlan,26/01/2015,01/02/2015,11.5,3.3,6.7,4.1,2.1,0,0,0
Tila,26/01/2015,01/02/2015,12.3,3.1,6.4,3.4,2.1,0,0,0
Yajalon,26/01/2015,01/02/2015,9.2,1.3,6.3,1.7,1.7,0,0,0
San Juan Cancuc,26/01/2015,01/02/2015,4.9,2.6,6.1,1.1,1.7,2,25,4
Ocotepec,26/01/2015,01/02/2015,18.1,3.1,5.9,1,1.6,0,0,0
Tumbala,26/01/2015,01/02/2015,13.8,5.7,5.6,0.8,1.7,0,0,0
Tuzantan,26/01/2015,01/02/2015,11.3,2.5,3.4,0.7,2.5,0,0,0
El Bosque,26/01/2015,01/02/2015,4.6,3.6,3.3,1.5,1.3,0,0,0
Chilon,26/01/2015,01/02/2015,6.9,1.2,3.3,1.8,1.9,0,0,4
Huitiupan,26/01/2015,01/02/2015,10.3,9.5,3.3,3.3,0.7,0,0,0
Simojovel de Allende,26/01/2015,01/02/2015,14.4,6.4,3,2.2,0.7,0,0,17
Tapilula,26/01/2015,01/02/2015,11.7,1.8,2.7,0.9,4.9,0,0,0
Ixhuatan,26/01/2015,01/02/2015,11.3,1.7,2.4,0.8,3.3,0,0,0
Tuxtla Chico,26/01/2015,01/02/2015,0,0.1,0,0,0.1,0,0,0
Siltepec,02/02/2015,08/02/2015,44.3,9.1,49.3,3.7,-,-,-,-
Chicomuselo,02/02/2015,08/02/2015,48.1,8.2,46.3,7.5,-,-,-,-
Angel Albino Corzo,02/02/2015,08/02/2015,58.9,3.2,40.9,2.2,-,-,-,-
Villa Corzo,02/02/2015,08/02/2015,60,0,35,3.3,-,-,-,-
Amatenango de la Frontera,02/02/2015,08/02/2015,31.6,12.9,34.1,8.4,-,-,-,-
Tapachula,02/02/2015,08/02/2015,33.6,17.5,30.5,17.5,-,-,-,-
Bella Vista,02/02/2015,08/02/2015,29.1,11.5,30.2,7.2,-,-,-,-
Motozintla,02/02/2015,08/02/2015,8.5,8.2,16.1,13.6,-,-,-,-
Huixtla,02/02/2015,08/02/2015,26.7,16.3,14.1,6.8,-,-,-,-
Cacahoatan,02/02/2015,08/02/2015,19.5,19.6,13.7,22.8,-,-,-,-
Chenalhe,02/02/2015,08/02/2015,6,3.5,9.2,11.6,-,-,-,-
Escuintla,02/02/2015,08/02/2015,27.4,11,8.5,3.5,-,-,-,-
Union Juarez,02/02/2015,08/02/2015,13.1,8.6,8.1,6.5,-,-,-,-
Tila,02/02/2015,08/02/2015,13.6,3.9,7.7,3.6,-,-,-,-
Tumbala,02/02/2015,08/02/2015,14.1,7.6,6,3.1,-,-,-,-
Ocotepec,02/02/2015,08/02/2015,13.3,9.7,5.8,0.5,-,-,-,-
San Juan Cancuc,02/02/2015,08/02/2015,5.9,3.2,5.8,1.1,-,-,-,-
Villa Comaltitlan,02/02/2015,08/02/2015,9.3,5.9,5.5,4.9,-,-,-,-
Yajalon,02/02/2015,08/02/2015,7.6,1.3,4.7,1.1,-,-,-,-
Amatan,02/02/2015,08/02/2015,11.5,0.2,3.5,1.9,-,-,-,-
Chilon,02/02/2015,08/02/2015,6.6,2.4,3,2.1,-,-,-,-
El Bosque,02/02/2015,08/02/2015,2.8,0.4,2.8,1.2,-,-,-,-
Tapilula,02/02/2015,08/02/2015,11.2,1.1,2.6,0.9,-,-,-,-
Ixhuatan,02/02/2015,08/02/2015,10.4,1.5,2.3,0.7,-,-,-,-
Simojovel de Allende,02/02/2015,08/02/2015,14.2,8.1,2.3,1.3,-,-,-,-
Tuzantan,02/02/2015,08/02/2015,7.5,1.9,2.1,0.9,-,-,-,-
Huitiupan,02/02/2015,08/02/2015,12.9,-,1.4,,-,-,-,-
Tuxtla Chico,02/02/2015,08/02/2015,7.4,14.8,1.3,2.5,-,-,-,-
Tecpatan,02/02/2015,08/02/2015,0,0,0,0,-,-,-,-
Chicomuselo,16/02/2015,22/02/2015,55.9,5.8,50.7,2.6,-,-,-,-
Siltepec,16/02/2015,22/02/2015,47,14.9,46.5,4.8,-,-,-,-
Villa Corzo,16/02/2015,22/02/2015,56.2,3.2,28,3.7,-,-,-,-
Angel Albino Corzo,16/02/2015,22/02/2015,53.6,4.3,26.4,3.9,-,-,-,-
Tapachula,16/02/2015,22/02/2015,29,12.9,24.1,10.9,-,-,-,-
Cacahoatan,16/02/2015,22/02/2015,22.8,21.9,14.8,19.6,-,-,-,-
Bella Vista,16/02/2015,22/02/2015,5.3,2.7,14.1,5.5,-,-,-,-
Huixtla,16/02/2015,22/02/2015,18.3,5.8,11.9,5,-,-,-,-
Tumbala,16/02/2015,22/02/2015,14.8,11.8,9.2,7.5,-,-,-,-
Escuintla,16/02/2015,22/02/2015,29.4,9.5,8.8,3.7,-,-,-,-
Union Juarez,16/02/2015,22/02/2015,14.9,10.4,8.8,2.4,-,-,-,-
Tila,16/02/2015,22/02/2015,16.4,9.7,7.9,3.5,-,-,-,-
Amatenango de la Frontera,16/02/2015,22/02/2015,5.1,1.5,7.7,1.8,-,-,-,-
Motozintla,16/02/2015,22/02/2015,3.5,2.3,6.8,6,-,-,-,-
Yajalon,16/02/2015,22/02/2015,10.9,4.3,6.1,2.7,-,-,-,-
Ocotepec,16/02/2015,22/02/2015,17.8,8.7,5.5,1.8,-,-,-,-
San Juan Cancuc,16/02/2015,22/02/2015,5.3,1.8,5,1.3,-,-,-,-
Chilon,16/02/2015,22/02/2015,8.4,1.7,4.6,1.1,-,-,-,-
Amatan,16/02/2015,22/02/2015,11,2.9,3.1,1.1,-,-,-,-
Chenalhe,16/02/2015,22/02/2015,5.2,1.4,2.7,1.7,-,-,-,-
Villa Comaltitlan,16/02/2015,22/02/2015,6.2,1.1,2.4,1.6,-,-,-,-
Tapilula,16/02/2015,22/02/2015,10,0,2.2,0.3,-,-,-,-
Simojovel de Allende,16/02/2015,22/02/2015,10.5,8.7,2.1,2.2,-,-,-,-
Tuzantan,16/02/2015,22/02/2015,8.5,1.7,1.9,0.9,-,-,-,-
Ixhuatan,16/02/2015,22/02/2015,9.7,1.2,1.9,0.6,-,-,-,-
El Bosque,16/02/2015,22/02/2015,2.8,0.8,1.4,0.4,-,-,-,-
Huitiupan,16/02/2015,22/02/2015,7.3,7,1.2,0.3,-,-,-,-
Tuxtla Chico,16/02/2015,22/02/2015,2.3,3,0.1,0.1,-,-,-,-
Tecpatan,16/02/2015,22/02/2015,0,0,0,0,-,-,-,-
Chicomuselo,23/02/2015,01/03/2015,47.6,5.8,43.8,7,2.8,0,0,0
Siltepec,23/02/2015,01/03/2015,34.7,32.3,39.3,15.5,3.2,0,0,0
Bella Vista,23/02/2015,01/03/2015,25.5,31.8,26.4,28.7,1.1,0,0,0
Angel Albino Corzo,23/02/2015,01/03/2015,32.8,2.5,24.3,2.4,2.6,0,0,0
Villa Corzo,23/02/2015,01/03/2015,32.6,2.3,19.8,1.8,2.3,0,0,0
Tapachula,23/02/2015,01/03/2015,22.4,11.8,18.3,12.6,5.6,0,1.4,0
Amatenango de la Frontera,23/02/2015,01/03/2015,17.1,18.9,15.6,14.6,1.4,0,0,0
Cacahoatan,23/02/2015,01/03/2015,21.1,17.9,11.3,17.6,1.8,5.5,3.3,0
Tumbala,23/02/2015,01/03/2015,12.5,9,8.3,4,1.8,0,0,0
Huixtla,23/02/2015,01/03/2015,8.7,2,6.8,4.2,1.6,0,0,0
Yajalon,23/02/2015,01/03/2015,13.2,5.6,6.7,2.5,1.9,0,0,0
Tila,23/02/2015,01/03/2015,10.8,4.5,6.4,2.5,2.1,0,0,0
Escuintla,23/02/2015,01/03/2015,22,15,4.9,3.9,2.4,0,0,0
Ocotepec,23/02/2015,01/03/2015,14.5,4.9,4.5,0.3,1.2,0,0,0
Chilon,23/02/2015,01/03/2015,8,2.3,3.9,1.5,1.4,0,0,0
Union Juarez,23/02/2015,01/03/2015,10.2,6,3.2,1.9,2.2,2,0,0
Motozintla,23/02/2015,01/03/2015,2.5,2.2,2.8,3.9,0.3,0,0,0
San Juan Cancuc,23/02/2015,01/03/2015,4.4,2,2.7,0.4,1.4,0,21,5
Amatan,23/02/2015,01/03/2015,9.5,0.8,2.5,0.6,2.2,0,0,0
Chenalhe,23/02/2015,01/03/2015,3.2,0.3,2,1.6,0.7,0,2,1
Tapilula,23/02/2015,01/03/2015,10,0,2,0,4.1,0,0,0
Villa Comaltitlan,23/02/2015,01/03/2015,4.7,1.3,1.8,1.5,1.3,0,0,0
Ixhuatan,23/02/2015,01/03/2015,9.1,1,1.5,0.2,2.1,0,0,0
El Bosque,23/02/2015,01/03/2015,2.5,0.7,1.4,1.1,0.9,0,0,0
Simojovel de Allende,23/02/2015,01/03/2015,8.5,6.7,1.3,1.1,0.9,0,0,17
Tuzantan,23/02/2015,01/03/2015,5,1.4,1.1,0.5,1.6,0,0,0
Huitiupan,23/02/2015,01/03/2015,6.2,5.4,1,0.1,0.5,0,0,0
Tuxtla Chico,23/02/2015,01/03/2015,0.1,0.1,0,0,0.1,0,0,0
Tecpatan,23/02/2015,01/03/2015,0,0,0,0,-,-,-,-
Chenalhe,29/02/2016,06/03/2016,42,4.9,12.2,1.9,-,-,-,-
Villa Corzo,29/02/2016,06/03/2016,14.6,8,11.9,4.5,0,0,0,0
Siltepec,29/02/2016,06/03/2016,8.9,4.7,10.4,7.2,0,0,0,0
La Concordia,29/02/2016,06/03/2016,10,0,10,0.3,0,0,0,0
Pantelho,29/02/2016,06/03/2016,29.4,12.7,8.5,3.7,0,0,0,0
Tenejapa,29/02/2016,06/03/2016,21.3,16.6,8.2,6.5,0,0,0,0
Angel Albino Corzo,29/02/2016,06/03/2016,10.1,6.5,8.2,5.4,0,0,0,0
Montecristo de Guerrero,29/02/2016,06/03/2016,7.6,5.1,8.1,1.1,0,0,0,0
Chicomuselo,29/02/2016,06/03/2016,9.7,6.2,7.5,4.4,0,0,0,0
San Juan Cancuc,29/02/2016,06/03/2016,29.1,7.1,7.3,1.9,0,0,0,0
Amatenango de la Frontera,29/02/2016,06/03/2016,6.6,6.9,6.7,6.7,0,0,0,0
Bella Vista,29/02/2016,06/03/2016,13.7,12.9,6.4,1.8,0,0,0,0
Huixtla,29/02/2016,06/03/2016,23.1,8.9,6.4,1.8,0,0,0,0
Frontera Comalapa,29/02/2016,06/03/2016,6.1,5.5,5.4,3.8,0,0,0,0
Ocotepec,29/02/2016,06/03/2016,8.1,1.1,4.6,0.5,0,0,0,0
Chenalhe,29/02/2016,06/03/2016,11.9,-,4.4,-,0,0,0,0
Motozintla,29/02/2016,06/03/2016,4.4,3.4,4.1,0.9,0,0,0,0
Santiago El Pinar,29/02/2016,06/03/2016,13,11.3,3.6,1.8,0,0,0,0
Sitala,29/02/2016,06/03/2016,14.9,3,3.6,1.2,0,0,0,0
Villa Comaltitlan,29/02/2016,06/03/2016,7.3,1.8,3.6,1.7,0,0,0,0
Tila,29/02/2016,06/03/2016,14,12.5,3.5,2.1,0,0,0,0
Copainala,29/02/2016,06/03/2016,7,0.6,3.4,0.5,0,0,0,0
Union Juarez,29/02/2016,06/03/2016,8.2,7.5,3.4,2.5,0,0,0,0
Coapilla,29/02/2016,06/03/2016,6.2,2.1,3.4,1.7,0,0,0,0
Tuzantan,29/02/2016,06/03/2016,7.1,5.8,3.3,4.2,0,0,0,0
Cacahoatan,29/02/2016,06/03/2016,4.3,4.8,2.9,5.9,0,0,0,0
San Fernando,29/02/2016,06/03/2016,5.6,1.8,2.8,1.7,0,0,0,0
Tumbala,29/02/2016,06/03/2016,10.8,7.4,2.8,1.9,0,0,0,0
Ocosingo,29/02/2016,06/03/2016,5.6,0.7,2.2,0.7,0,0,0,0
Acacoyagua,29/02/2016,06/03/2016,5.2,1.6,2.2,1.6,0,0,0,0
Tapachula,29/02/2016,06/03/2016,3.8,2.2,2.1,2.2,0,0,0,0
Mapastepec,29/02/2016,06/03/2016,5.4,5.2,2,2.4,0,0,0,0
Yajalon,29/02/2016,06/03/2016,4.8,1,2,0.4,-,-,-,-
Motozintla,29/02/2016,06/03/2016,2.8,0.9,1.9,1.2,0,0,0,0
Chilon,29/02/2016,06/03/2016,3.6,1,1.9,0.7,0,0,0,0
Oxchuc,29/02/2016,06/03/2016,4.3,1.4,1.7,1,0,0,0,0
Escuintla,29/02/2016,06/03/2016,6.3,7.8,1.4,2.4,0,0,0,0
Tapilula,29/02/2016,06/03/2016,3.8,0.4,1.3,1.6,0,0,0,0
Amatan,29/02/2016,06/03/2016,7.9,0.4,1.2,0.4,0,0,0,0
Huehuetan,29/02/2016,06/03/2016,3.3,0.2,1,0.2,0,0,0,0
Simojovel de Allende,29/02/2016,06/03/2016,7.4,10,0.9,1.3,1.1,0,9,0
Ixhuatan,29/02/2016,06/03/2016,3.2,0.4,0.5,0.2,0,0,0,0
Simojovel de Allende,29/02/2016,06/03/2016,4,3.3,0.5,0.3,-,-,-,-
Pueblo Nuevo Solistahuacan,29/02/2016,06/03/2016,2.8,0.2,0.3,0.1,0,0,0,0
Huitiupan,29/02/2016,06/03/2016,2.5,1.4,0.3,0.1,0,0,0,0
Jitotol,29/02/2016,06/03/2016,2.9,0.3,0.3,0,0,0,0,0
El Bosque,29/02/2016,06/03/2016,1,0.8,0.1,0.1,0,0,0,0
Tuxtla Chico,29/02/2016,06/03/2016,0.1,0.1,0,0,0,0,0,0
Tecpatan,29/02/2016,06/03/2016,0,0,0,0,0,0,0,0
Siltepec,02/03/2015,08/03/2015,36.8,29.3,42.3,10.9,-,-,-,-
Chicomuselo,02/03/2015,08/03/2015,36.3,20.5,29.2,31,-,-,-,-
Bella Vista,02/03/2015,08/03/2015,23.1,28.8,25.3,28.6,-,-,-,-
Angel Albino Corzo,02/03/2015,08/03/2015,20.5,9.7,21.4,4.2,-,-,-,-
Tapachula,02/03/2015,08/03/2015,24.4,14.3,18.4,13.2,-,-,-,-
Cacahoatan,02/03/2015,08/03/2015,23.7,22.8,16.2,24,-,-,-,-
Amatenango de la Frontera,02/03/2015,08/03/2015,18.7,21.9,15.4,14.1,-,-,-,-
Villa Corzo,02/03/2015,08/03/2015,18.8,3.9,13.8,2.6,-,-,-,-
Tumbala,02/03/2015,08/03/2015,9.7,6.6,8.6,4.5,-,-,-,-
Tila,02/03/2015,08/03/2015,7.6,1.5,7,2.2,-,-,-,-
Yajalon,02/03/2015,08/03/2015,13,7.2,5.5,1.3,-,-,-,-
Ocotepec,02/03/2015,08/03/2015,16.3,8,4.8,0.3,-,-,-,-
Escuintla,02/03/2015,08/03/2015,21.4,13.9,4.4,4.2,-,-,-,-
San Juan Cancuc,02/03/2015,08/03/2015,5.7,0.2,3.6,0.8,-,-,-,-
Chilon,02/03/2015,08/03/2015,7.8,1.8,3.6,1.1,-,-,-,-
Huixtla,02/03/2015,08/03/2015,7.4,2.4,3.5,0.7,-,-,-,-
Union Juarez,02/03/2015,08/03/2015,5.3,2,2.8,1.5,-,-,-,-
Motozintla,02/03/2015,08/03/2015,3.1,2,2.7,3.1,-,-,-,-
Villa Comaltitlan,02/03/2015,08/03/2015,3.9,1,1.9,1.9,-,-,-,-
Chenalhe,02/03/2015,08/03/2015,3.7,1.5,1.8,0.9,-,-,-,-
Tapilula,02/03/2015,08/03/2015,10,0,1.8,0.3,-,-,-,-
Amatan,02/03/2015,08/03/2015,9.4,0.9,1.7,0.1,-,-,-,-
El Bosque,02/03/2015,08/03/2015,2.6,0.6,1.4,0.5,-,-,-,-
Ixhuatan,02/03/2015,08/03/2015,9.1,1,1.4,0.5,-,-,-,-
Simojovel de Allende,02/03/2015,08/03/2015,8.7,7.2,1.3,1.2,-,-,-,-
Tuzantan,02/03/2015,08/03/2015,5.2,1.6,1.1,0.2,-,-,-,-
Huitiupan,02/03/2015,08/03/2015,6.2,5.4,0.9,0.3,-,-,-,-
Tuxtla Chico,02/03/2015,08/03/2015,0.1,0.1,0,0,-,-,-,-
Tecpatan,02/03/2015,08/03/2015,0,0,0,0,-,-,-,-
Chicomuselo,07/03/2016,13/03/2016,9.3,-,7.7,-,2.1,0,0,0
Cacahoatan,07/03/2016,13/03/2016,6.5,6.9,4.7,8.6,1.7,0.5,0,0
Tuzantan,07/03/2016,13/03/2016,8.4,0.5,3.6,1.9,1.1,0,0,0
Tapachula,07/03/2016,13/03/2016,3.5,1.5,1.6,1.4,2.4,0,0,0
Escuintla,07/03/2016,13/03/2016,4.3,1.9,0.9,0.5,1.5,0,0,0
Motozintla,07/03/2016,13/03/2016,1.5,-,0.5,-,0.3,0,0,0
Tuxtla Chico,07/03/2016,13/03/2016,1.1,2.1,0.3,0.5,0.1,0,0,0
Huehuetan,07/03/2016,13/03/2016,1.1,1.8,0.2,0.4,0.6,0,0,0
Acacoyagua,07/03/2016,13/03/2016,1.8,2.6,0.2,0.3,-,-,-,-
Siltepec,09/03/2015,15/03/2015,42.9,20.3,33.7,10,2.5,0,0,0
Chicomuselo,09/03/2015,15/03/2015,22.9,18.5,21.1,5.1,1.6,0,0,0
Villa Corzo,09/03/2015,15/03/2015,14,0,9.9,0.8,2,0,0,0
Angel Albino Corzo,09/03/2015,15/03/2015,12.1,1.1,9.8,2.9,1.8,0,0,0
Tila,09/03/2015,15/03/2015,10,4.6,6.9,2.5,2,0,0,0
Tumbala,09/03/2015,15/03/2015,11.1,6.3,6.8,2.2,1.3,0,0,0
Bella Vista,09/03/2015,15/03/2015,8.6,8.5,6.6,3.4,1.6,0,0,0
Yajalon,09/03/2015,15/03/2015,9.4,1.1,6.1,3.5,1.6,0,0,0
Cacahoatan,09/03/2015,15/03/2015,9.8,10.7,5.4,9.1,1.8,4.8,0,0
Ocotepec,09/03/2015,15/03/2015,15.1,6.9,4.5,1.1,1.2,0,0,0
Huixtla,09/03/2015,15/03/2015,6.4,1.5,3.5,0.8,1.6,0,0,0
Motozintla,09/03/2015,15/03/2015,1,1.6,3.4,4.5,0.2,0,0,0
Escuintla,09/03/2015,15/03/2015,10.2,6.9,3.1,5.5,2.3,0,0,0
Tapachula,09/03/2015,15/03/2015,11.2,10.2,2.9,3.8,4.1,3.7,0,1.5
Amatenango de la Frontera,09/03/2015,15/03/2015,3.2,0.9,2.8,0.3,0.9,0,0,0
Chilon,09/03/2015,15/03/2015,5.1,3.5,2.7,1.3,1.6,0,0,0
San Juan Cancuc,09/03/2015,15/03/2015,7.6,-,2.5,,-,-,-,-
Amatan,09/03/2015,15/03/2015,9.4,0.9,2.4,0.3,3.2,0,0,0
Ixhuatan,09/03/2015,15/03/2015,9.1,1,1.7,0.3,2.4,0,0,0
Tapilula,09/03/2015,15/03/2015,7.2,3.8,1.5,0.9,3.4,0,0,0
Villa Comaltitlan,09/03/2015,15/03/2015,4.4,1.1,1.4,0.6,1.2,10.7,9,0.3
El Bosque,09/03/2015,15/03/2015,3.6,2,1.3,0.7,0.8,0,2,0
Tuzantan,09/03/2015,15/03/2015,94.4,180.4,1.1,0.8,0.9,1,0,2.5
Union Juarez,09/03/2015,15/03/2015,2.8,2.1,0.9,0.8,2,3,0,0
Huitiupan,09/03/2015,15/03/2015,3,0.7,0.7,0,0.5,0,0,0
Chenalhe,09/03/2015,15/03/2015,3.1,3.4,0.6,0.8,0.8,0,4,0
Simojovel de Allende,09/03/2015,15/03/2015,4.4,3.8,0.5,0.4,0.5,0,0,0
Tecpatan,09/03/2015,15/03/2015,0,0,0,0,-,-,-,-
Tuxtla Chico,09/03/2015,15/03/2015,0.1,0.1,0,0,0.1,0,0,0
Siltepec,16/03/2015,22/03/2015,34.8,23.8,29.6,16.8,-,-,-,-
Chicomuselo,16/03/2015,22/03/2015,18.3,14.9,13.5,15.3,-,-,-,-
Bella Vista,16/03/2015,22/03/2015,13.6,16.1,10.9,10.6,-,-,-,-
Villa Corzo,16/03/2015,22/03/2015,13.9,0.2,10.5,0.4,-,-,-,-
Angel Albino Corzo,16/03/2015,22/03/2015,11.2,1.5,10.3,3.8,-,-,-,-
Tumbala,16/03/2015,22/03/2015,10.1,8.1,6.5,3.3,-,-,-,-
Tila,16/03/2015,22/03/2015,7.4,2.7,5.7,2.1,-,-,-,-
Ocotepec,16/03/2015,22/03/2015,15.3,7.4,5.1,1.5,-,-,-,-
Motozintla,16/03/2015,22/03/2015,1.2,1.3,3.8,4.4,-,-,-,-
Cacahoatan,16/03/2015,22/03/2015,5.7,6.5,3.7,6.8,-,-,-,-
Tapachula,16/03/2015,22/03/2015,5.4,3.6,2.7,3.7,-,-,-,-
Yajalon,16/03/2015,22/03/2015,7.1,3.8,2.7,0.4,-,-,-,-
San Juan Cancuc,16/03/2015,22/03/2015,5.3,0.3,2.3,0.5,-,-,-,-
Huixtla,16/03/2015,22/03/2015,5.1,0.8,2.2,0.8,-,-,-,-
Amatan,16/03/2015,22/03/2015,7.6,1.6,2.1,1.1,-,-,-,-
Chilon,16/03/2015,22/03/2015,4.6,0.5,1.8,0.5,-,-,-,-
Amatenango de la Frontera,16/03/2015,22/03/2015,2.5,0.3,1.7,0.8,-,-,-,-
Tapilula,16/03/2015,22/03/2015,9.1,1.2,1.7,0.6,-,-,-,-
Chenalhe,16/03/2015,22/03/2015,3.1,0.8,1.5,0.8,-,-,-,-
Simojovel de Allende,16/03/2015,22/03/2015,6.8,6,1.5,1.5,-,-,-,-
Ixhuatan,16/03/2015,22/03/2015,8.1,0.2,1.4,0.1,-,-,-,-
Tuzantan,16/03/2015,22/03/2015,5.7,2.3,1.3,0.6,-,-,-,-
Villa Comaltitlan,16/03/2015,22/03/2015,4.7,2.8,1,0.6,-,-,-,-
Escuintla,16/03/2015,22/03/2015,9.1,4.8,1,0.5,-,-,-,-
Huitiupan,16/03/2015,22/03/2015,3.5,1.4,0.9,0.2,-,-,-,-
El Bosque,16/03/2015,22/03/2015,2.5,0.5,0.7,0.3,-,-,-,-
Union Juarez,16/03/2015,22/03/2015,3.3,0.5,0.4,0.2,-,-,-,-
Tuxtla Chico,16/03/2015,22/03/2015,0.1,0.1,0,0,-,-,-,-
Tecpatan,16/03/2015,22/03/2015,0,0,0,0,-,-,-,-
Siltepec,23/03/2015,29/03/2015,38.8,18.4,27.4,6,2,0,0,0
Chicomuselo,23/03/2015,29/03/2015,13.8,12.6,6.2,6.2,1.1,0,0,0
Angel Albino Corzo,23/03/2015,29/03/2015,8,0.9,5.6,2.1,1.6,0,0,0
Villa Corzo,23/03/2015,29/03/2015,9.5,2.8,4.9,1.5,1.5,0,0,0
Ocotepec,23/03/2015,29/03/2015,14.1,6.9,4.2,1.4,1.2,0,0,0
Motozintla,23/03/2015,29/03/2015,0.7,1,4.1,5.5,0.3,0,0,0
Cacahoatan,23/03/2015,29/03/2015,4.8,5,3.6,6.8,1.7,23.8,0,0
Bella Vista,23/03/2015,29/03/2015,2.5,0.6,3.6,2.1,1.6,0,0,0
Tila,23/03/2015,29/03/2015,5.8,2.3,3.1,1,1.7,0,0,0
Yajalon,23/03/2015,29/03/2015,6.3,1.6,2.7,0.7,1.2,0,0,0
Tumbala,23/03/2015,29/03/2015,4.3,1.1,2.3,0.2,1.2,0,0,0
Amatan,23/03/2015,29/03/2015,7.1,2.3,1.9,1.3,2.3,0,0,0
Tapachula,23/03/2015,29/03/2015,4.5,4.8,1.8,2.6,1.6,3.3,0,0
Chilon,23/03/2015,29/03/2015,3.7,0.2,1.6,0.6,2.1,0,0,2
San Juan Cancuc,23/03/2015,29/03/2015,4.2,1.7,1.6,0.6,1.6,0,27,0
El Bosque,23/03/2015,29/03/2015,2.9,1.2,1.5,0.8,1.6,0,2,0
Huixtla,23/03/2015,29/03/2015,4.6,1,1.3,0.7,1.5,17,0,0
Chenalhe,23/03/2015,29/03/2015,2.8,0.3,1.3,0,1.1,0,2,2
Amatenango de la Frontera,23/03/2015,29/03/2015,1.7,0.2,1.2,0.6,0.6,0,0,0
